Records ID,Beetle Host,categories,pathogens,country or region,ecological relationship,experimental conditions,,identification method,infection site,organism source,,validation type,source,year,full text,reference
1,Ips typographus,Fungi,Beauveria bassiana,Romania,pathogen,laboratory,,not stated,cuticular contact,laboratory cultivated,,virulence test,"Andrei et al., 2013",2013,full text,"Andrei, A. M., Lupăştean, D., Ciornei, C., Fătu, A. C., & Dinu, M. M. (2013). Laboratory Beauveria bassiana (Bals.) Vuill. bioassays on spruce bark beetle (Ips typographus L.). IOBC/WPRS Bulletin, 90, 93-96."
2,Scolytus ventralis,Nematode,Sulphuretylenchus elongatus,United States,parasite,field natural observation,,not stated,cuticle integument,field collected natural observation,,,"Ashraf and Berryman, 1970",1970,full text,"Ashraf, M., Berryman, A.A., 1970. Biology of Sulphuretylenchus elongatus (Nematoda: Spaerulariidae) and its effect on its host Scolytus ventralis (Coleoptera: Scolytidae). Can. Entomol. 102, 197–213."
3,Scolytus ventralis,Nematode,Sulphuretylenchus elongatus,,parasite,field natural observation,,not stated,cuticle integument,field collected natural observation,,,"Ashraf, 1968",1968,only English abstract,"Ashraf, M., 1968. Biological studies of Scolytus ventralis Le Conte (Coleoptera: Scolytidae) with particular reference to nematode parasite Sulphuretylenchus elongatus Massey. Ph.D. thesis, Washington State University, Pullman."
4,Dendroctonus frontalis,Microsporidia,Unikaryon minutum,United States,,,,,,samples from traps,,,"Atkinson and Wilkinson, 1979",1979,full text,"Atkinson, T.H., Wilkinson, R.C., 1979. Microsporidian and nematode incidence in live-trapped and reared southern pine beetle adults. Fla. Entomol. 62, 169–175."
5,Dendroctonus frontalis,Nematode,Contortylenchus brevicomi,United States,parasite,,,,,samples from traps,,,"Atkinson and Wilkinson, 1979",1979,full text,"Atkinson, T.H., Wilkinson, R.C., 1979. Microsporidian and nematode incidence in live-trapped and reared southern pine beetle adults. Fla. Entomol. 62, 169–175."
6,Xyleborus glabratus,Fungi,Beauveria bassiana,,pathogen,laboratory,,,undetermined,commercial strain,,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
7,Xyleborus glabratus,Fungi,Metarhizium brunneum,,pathogen,laboratory,,,undetermined,commercial strain,,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
8,Xyleborus glabratus,Fungi,Isaria fumosorosea,,pathogen,laboratory,,,undetermined,commercial strain,,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
9,Xylosandrus crassiusculus,Fungi,Beauveria bassiana,,pathogen,laboratory,,,undetermined,commercial strain,,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
10,Xylosandrus crassiusculus,Fungi,Metarhizium brunneum,,pathogen,laboratory,,,undetermined,commercial strain,,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
